,lat,lon,Location Name,Title,Misinfo_Or_Books
155,-23.5557714,-46.6395571,São Paulo,accidentallyWesAnderson,books
156,13.6152595,100.5266282,BangkokThailand,accidentallyWesAnderson,books
157,51.454513,-2.58791,Bristol,accidentallyWesAnderson,books
158,,,,accidentallyWesAnderson,books
159,,,,accidentallyWesAnderson,books
160,,,,accidentallyWesAnderson,books
161,42.7573021,-81.1995527,RKID,accidentallyWesAnderson,books
162,13.7563309,100.5017651,Bangkok,accidentallyWesAnderson,books
163,,,,accidentallyWesAnderson,books
164,48.856614,2.3522219,Paris,accidentallyWesAnderson,books
165,37.5073302,127.0331751,Woneowon,accidentallyWesAnderson,books
166,50.8229402,-0.1362672,Brighton,accidentallyWesAnderson,books
167,39.12793860000001,-77.2060295,Dollar & More,accidentallyWesAnderson,books
168,,,,accidentallyWesAnderson,books
169,48.1351253,11.5819805,Munich,accidentallyWesAnderson,books
170,39.1465576,-76.6305635,The Heart Center of Northern Anne Arundel County: Dr. My-Le Nguyen,accidentallyWesAnderson,books
171,40.7212658,-73.9977705,Central Perk Coffeeshop,accidentallyWesAnderson,books
172,15.870032,100.992541,Thailand,accidentallyWesAnderson,books
173,,,,accidentallyWesAnderson,books
174,40.46366700000001,-3.74922,Spain,accidentallyWesAnderson,books
175,,,,accidentallyWesAnderson,books
176,,,,accidentallyWesAnderson,books
177,54.7335705,55.9794361,Advokat Ronzhin Anton Aleksandrovich,accidentallyWesAnderson,books
178,7.8804479,98.3922504,Phuket,accidentallyWesAnderson,books
179,,,,accidentallyWesAnderson,books
180,39.15837450000001,-3.0214475,Tomelloso,accidentallyWesAnderson,books
181,40.7880414,-80.1437625,Somewhere Over the Rainbow- Zelienople,accidentallyWesAnderson,books
182,51.454513,-2.58791,Bristol,accidentallyWesAnderson,books
183,,,,accidentallyWesAnderson,books
184,43.0617713,141.3544507,Sapporo,accidentallyWesAnderson,books
185,55.378051,-3.435973,United Kingdom,accidentallyWesAnderson,books
186,15.870032,100.992541,Thailand,accidentallyWesAnderson,books
187,1.352083,103.819836,Singapore,accidentallyWesAnderson,books
188,,,,accidentallyWesAnderson,books
189,35.6791442,139.7090141,1-chōme-5-24 Sendagaya,accidentallyWesAnderson,books
190,35.6803997,139.7690174,Tokyo,accidentallyWesAnderson,books
191,50.8229402,-0.1362672,Brighton,accidentallyWesAnderson,books
192,48.1351253,11.5819805,Munich,accidentallyWesAnderson,books
193,,,,accidentallyWesAnderson,books
194,35.6791442,139.7090141,1-chōme-5-24 Sendagaya,accidentallyWesAnderson,books
195,6.42375,-66.58973,Venezuela,accidentallyWesAnderson,books
196,51.5072178,-0.1275862,London,accidentallyWesAnderson,books
197,13.7563309,100.5017651,Bangkok,accidentallyWesAnderson,books
198,48.856614,2.3522219,Paris,accidentallyWesAnderson,books
199,1.352083,103.819836,Singapore,accidentallyWesAnderson,books
200,39.15837450000001,-3.0214475,Tomelloso,accidentallyWesAnderson,books
