,lat,lon,Location Name,Misinfo_Or_Books,Title
164,40.4172871,-82.90712300000001,Ohio,misinfo,civilWar
165,51.253775,-85.323214,Ontario,misinfo,civilWar
166,14.497401,-14.452362,Senegal,misinfo,civilWar
167,,,,misinfo,civilWar
168,52.04449529999999,4.4754764,Sector ZZ9 Plural Z Alpha,misinfo,civilWar
169,46.227638,2.213749,France,misinfo,civilWar
170,,,,misinfo,civilWar
171,41.2033216,-77.1945247,Pennsylvania,misinfo,civilWar
172,19.0759837,72.8776559,Mumbai,misinfo,civilWar
173,,,,misinfo,civilWar
174,39.0039696,-77.4323924,Worldwide Goods,misinfo,civilWar
175,38.9092138,-90.0406608,Bethalto,misinfo,civilWar
176,37.09024,-95.712891,United States,misinfo,civilWar
177,48.1675772,-122.191644,Smokey Point,misinfo,civilWar
178,14.0323336,38.3165725,Tigray,misinfo,civilWar
179,-1.9440727,30.0618851,Kigali,misinfo,civilWar
180,28.6139391,77.2090212,New Delhi,misinfo,civilWar
181,35.6761919,139.6503106,Tokyo,misinfo,civilWar
182,37.09024,-95.712891,United States,misinfo,civilWar
183,12.9715987,77.5945627,Bengaluru,misinfo,civilWar
184,40.6747887,-79.9895022,Valencia,misinfo,civilWar
185,16.723433,-99.1235211,Costa Chica of Guerrero,misinfo,civilWar
186,25.354826,51.183884,Qatar,misinfo,civilWar
187,37.09024,-95.712891,United States,misinfo,civilWar
188,35.69291279999999,139.709008,Shinjuku,misinfo,civilWar
189,33.4483771,-112.0740373,Phoenix,misinfo,civilWar
190,40.8447819,-73.8648268,Bronx,misinfo,civilWar
191,-25.274398,133.775136,Australia,misinfo,civilWar
192,,,,misinfo,civilWar
193,36.204824,138.252924,Japan,misinfo,civilWar
194,40.0583238,-74.4056612,New Jersey,misinfo,civilWar
195,53.76762360000001,-0.3274198,Hull,misinfo,civilWar
196,34.0522342,-118.2436849,Los Angeles,misinfo,civilWar
197,38.9034802,-77.0590191,DES-DC,misinfo,civilWar
198,36.778261,-119.4179324,California,misinfo,civilWar
199,38.8048355,-77.0469214,Alexandria,misinfo,civilWar
200,41.6032207,-73.087749,Connecticut,misinfo,civilWar
201,39.0997265,-94.5785667,Kansas City,misinfo,civilWar
202,37.09024,-95.712891,United States,misinfo,civilWar
203,38.8739599,115.46459,Baoding,misinfo,civilWar
204,40.46366700000001,-3.74922,Spain,misinfo,civilWar
205,43.7844397,-88.7878678,Wisconsin,misinfo,civilWar
206,26.820553,30.802498,Egypt,misinfo,civilWar
207,40.7127753,-74.0059728,New York,misinfo,civilWar
208,40.7127753,-74.0059728,New York,misinfo,civilWar
209,18.3105086,-65.7912741,El Yunque,misinfo,civilWar
210,40.7127753,-74.0059728,New York,misinfo,civilWar
211,51.5072178,-0.1275862,London,misinfo,civilWar
212,-31.9523123,115.861309,Perth,misinfo,civilWar
213,21.485811,39.19250479999999,Jeddah,misinfo,civilWar
214,53.4807593,-2.2426305,Manchester,misinfo,civilWar
215,51.5072178,-0.1275862,London,misinfo,civilWar
216,43.9653889,-70.8226541,New England,misinfo,civilWar
217,46.2787807,-119.1492241,northern hemisphere half earth society,misinfo,civilWar
218,40.5142026,-88.9906312,Normal,misinfo,civilWar
219,46.729553,-94.6858998,Minnesota,misinfo,civilWar
220,33.4941704,-111.9260519,Scottsdale,misinfo,civilWar
221,35.7453849,139.42665,Higashiyamato,misinfo,civilWar
222,41.9830785,-70.0532913,Cape Cod National Seashore,misinfo,civilWar
223,-37.8136276,144.9630576,Melbourne,misinfo,civilWar
224,,,,misinfo,civilWar
225,35.8486229,-86.36691549999999,Middle Tennessee State University,misinfo,civilWar
226,43.9653889,-70.8226541,New England,misinfo,civilWar
227,40.8148272,-73.9531727,Cybertron Solutions,misinfo,civilWar
228,37.09024,-95.712891,United States,misinfo,civilWar
229,,,,misinfo,civilWar
230,,,,misinfo,civilWar
231,37.09024,-95.712891,United States,misinfo,civilWar
232,-23.5557714,-46.6395571,São Paulo,misinfo,civilWar
233,,,,misinfo,civilWar
234,51.5072178,-0.1275862,London,misinfo,civilWar
235,41.8780025,-93.097702,Iowa,misinfo,civilWar
236,-25.274398,133.775136,Australia,misinfo,civilWar
237,55.378051,-3.435973,United Kingdom,misinfo,civilWar
238,38.865799,-77.365192,East International Freight - USA,misinfo,civilWar
239,50.8476424,4.3571696,Brussels,misinfo,civilWar
240,35.8456213,-86.39027,Murfreesboro,misinfo,civilWar
241,51.5072178,-0.1275862,London,misinfo,civilWar
242,39.0039696,-77.4323924,Worldwide Goods,misinfo,civilWar
243,38.9054318,-77.04457889999999,Global USA Inc,misinfo,civilWar
244,44.3148443,-85.60236429999999,Michigan,misinfo,civilWar
245,40.2671941,-86.1349019,Indiana,misinfo,civilWar
246,43.653226,-79.3831843,Toronto,misinfo,civilWar
247,38.92817100000001,-79.8506568,Inter-Mountain,misinfo,civilWar
248,,,,misinfo,civilWar
249,-4.0434771,39.6682065,Mombasa,misinfo,civilWar
250,33.7174708,-117.8311428,Orange County,misinfo,civilWar
251,40.4172871,-82.90712300000001,Ohio,misinfo,civilWar
252,52.3555177,-1.1743197,England,misinfo,civilWar
253,37.732574,-80.6287229,Palestine,misinfo,civilWar
254,40.7759982,-73.94976079999999,USLegalWills.com,misinfo,civilWar
255,37.09024,-95.712891,United States,misinfo,civilWar
256,28.5383832,-81.3789269,Orlando,misinfo,civilWar
257,51.8642112,-2.2380335,Gloucestershire,misinfo,civilWar
258,,,,misinfo,civilWar
259,51.5072178,-0.1275862,London,misinfo,civilWar
260,32.8998091,-97.0403352,Dallas/Fort Worth International Airport,misinfo,civilWar
261,40.1665378,-80.25261979999999,All Ways Moving & Storage,misinfo,civilWar
262,39.1565353,-75.5241634,Belkins,misinfo,civilWar
263,44.9369054,-91.3929348,Chippewa Falls,misinfo,civilWar
264,39.1547426,-77.2405153,Montgomery County,misinfo,civilWar
265,,,,misinfo,civilWar
266,37.09024,-95.712891,United States,misinfo,civilWar
267,31.9685988,-99.9018131,Texas,misinfo,civilWar
268,56.130366,-106.346771,Canada,misinfo,civilWar
269,43.653226,-79.3831843,Toronto,misinfo,civilWar
270,31.3403775,-110.9342532,Nogales,misinfo,civilWar
271,38.853853,-77.3203383,La-Z-Boy Furniture Galleries,misinfo,civilWar
272,51.5072178,-0.1275862,London,misinfo,civilWar
273,51.6622909,-0.1180651,London Borough of Enfield,misinfo,civilWar
274,,,,misinfo,civilWar
275,38.9071923,-77.0368707,Washington,misinfo,civilWar
276,,,,misinfo,civilWar
277,43.9695148,-99.9018131,South Dakota,misinfo,civilWar
278,27.6648274,-81.5157535,Florida,misinfo,civilWar
279,-33.8688197,151.2092955,Sydney,misinfo,civilWar
280,,,,misinfo,civilWar
281,38.9071923,-77.0368707,Washington,misinfo,civilWar
282,-5.774423199999999,-35.201568,꧁ChѦƦLeඋ BѦƦƦe†Ꮻ꧂INFO SUPORTE,misinfo,civilWar
283,9.7865881,49.36531489999999,Puntland,misinfo,civilWar
284,9.145,40.489673,Ethiopia,misinfo,civilWar
285,52.52000659999999,13.404954,Berlin,misinfo,civilWar
286,,,,misinfo,civilWar
287,40.70666689999999,-74.00647459999999,Fòs Feminista,misinfo,civilWar
288,35.2451342,-81.34119419999999,Kings Mountain,misinfo,civilWar
289,27.0997775,-82.4542632,Venice,misinfo,civilWar
290,39.02208479999999,-77.4215175,The Reinforced Earth Company,misinfo,civilWar
291,38.9241478,-77.2329871,North Italia,misinfo,civilWar
292,55.3649698,-4.6679959,Ayrshire,misinfo,civilWar
293,,,,misinfo,civilWar
294,39.0437567,-77.4874416,Ashburn,misinfo,civilWar
295,51.54139499999999,-1.902318,Royal Wootton Bassett,misinfo,civilWar
